soc_code,occupation_title,aioe_title,description,aei_score,risk_band
29-9091,Athletic Trainers,Athletic Trainers,"Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care.",0.3845449384253241,Yellow
29-9092,Genetic Counselors,Genetic Counselors,"Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling.",0.9857089398641441,Red
29-9099,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",All healthcare practitioners and technical workers not listed separately.,0.5182590631667188,Yellow
31-2011,Occupational Therapy Assistants,Occupational Therapist Assistants,"Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with state laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training.",0.3675218433392783,Yellow
31-2012,Occupational Therapy Aides,Occupational Therapist Aides,"Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room.",0.3088489656068259,Green
31-2021,Physical Therapist Assistants,Physical Therapist Assistants,"Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with state laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training.",0.35786175069191695,Yellow
31-2022,Physical Therapist Aides,Physical Therapist Aides,"Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area.",0.3068642075131159,Green
31-9011,Massage Therapists,Massage Therapists,"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans.",0.17970899089426906,Green
31-9091,Dental Assistants,Dental Assistants,"Perform limited clinical duties under the direction of a dentist. Clinical duties may include equipment preparation and sterilization, preparing patients for treatment, assisting the dentist during treatment, and providing patients with instructions for oral healthcare procedures. May perform administrative duties such as scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes.",0.395285043342577,Yellow
31-9092,Medical Assistants,Medical Assistants,"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician.",0.5145425178402665,Yellow
31-9093,Medical Equipment Preparers,Medical Equipment Preparers,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment.",0.32805065586530896,Green
31-9094,Medical Transcriptionists,Medical Transcriptionists,"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction.",0.7708575974991333,Red
31-9095,Pharmacy Aides,Pharmacy Aides,"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling.",0.45024489776596266,Yellow
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers,"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine postoperative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists.",0.31684412193010314,Green
